TimeID,Temperature
0,45.70
1,45.70
2,45.70
3,45.70
4,45.70
5,45.70
6,45.70
7,45.70
8,45.70
9,29.10
10,29.10
11,29.10
12,29.10
13,29.10
14,29.10
15,29.10
16,29.10
17,29.10
18,29.10
19,29.10
20,29.10
21,29.10
22,29.10
23,29.10
24,29.10
25,29.10
26,29.10
27,29.10
28,29.10
29,29.10
30,29.10
31,29.10
32,29.10
33,29.10
34,29.10
35,29.10
36,29.10
37,29.10
38,29.10
39,29.10
40,29.10
41,29.10
42,29.10
43,29.10
44,29.10
45,24.71
46,24.71
47,37.89
48,41.80
49,41.80
50,33.01
51,33.01
52,33.01
53,33.01
54,33.01
